date,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread,spread_pct
2025-09-17 22:00:00+00:00,173.616,173.662,173.526,173.556,3201,173.57,173.641,173.513,173.541,173.661,173.708,173.538,173.57,0.028999999999996362,0.016709304201523636
2025-09-17 23:00:00+00:00,173.556,173.723,173.515,173.696,5113,173.54,173.71,173.501,173.684,173.571,173.736,173.528,173.709,0.025000000000005684,0.014392962417099808
2025-09-18 00:00:00+00:00,173.698,173.76,173.613,173.733,9794,173.685,173.748,173.599,173.721,173.711,173.773,173.626,173.745,0.02400000000000091,0.01381430125537515
2025-09-18 01:00:00+00:00,173.73,173.801,173.683,173.69,9955,173.716,173.789,173.669,173.677,173.744,173.814,173.696,173.703,0.02600000000001046,0.014969197996436444
2025-09-18 02:00:00+00:00,173.692,173.756,173.628,173.638,6130,173.68,173.745,173.617,173.627,173.705,173.766,173.64,173.648,0.020999999999986585,0.012094126861623944
2025-09-18 03:00:00+00:00,173.638,173.708,173.614,173.7,5122,173.627,173.695,173.602,173.688,173.649,173.721,173.625,173.713,0.025000000000005684,0.014392630972945127
2025-09-18 04:00:00+00:00,173.701,173.762,173.616,173.632,5816,173.688,173.75,173.606,173.621,173.714,173.776,173.627,173.644,0.022999999999996135,0.013246406192404702
2025-09-18 05:00:00+00:00,173.633,173.77,173.606,173.741,8103,173.621,173.759,173.593,173.73,173.645,173.781,173.62,173.752,0.02200000000001978,0.012662526404256785
2025-09-18 06:00:00+00:00,173.737,173.926,173.718,173.861,12625,173.724,173.914,173.703,173.848,173.75,173.939,173.732,173.874,0.025999999999982037,0.01495447512667133
2025-09-18 07:00:00+00:00,173.86,174.102,173.836,174.066,13163,173.846,174.088,173.824,174.051,173.873,174.115,173.849,174.08,0.029000000000024784,0.01666034722463019
2025-09-18 08:00:00+00:00,174.065,174.472,174.038,174.384,11543,174.051,174.46,174.025,174.373,174.079,174.485,174.052,174.396,0.022999999999996135,0.013189283420495076
2025-09-18 09:00:00+00:00,174.384,174.443,174.302,174.346,10803,174.373,174.429,174.289,174.335,174.394,174.458,174.314,174.358,0.022999999999996135,0.013192158122352183
2025-09-18 10:00:00+00:00,174.344,174.39,174.273,174.313,7469,174.332,174.379,174.26,174.299,174.356,174.401,174.286,174.327,0.027999999999991587,0.01606305898010567
2025-09-18 11:00:00+00:00,174.314,174.354,174.193,174.292,10475,174.301,174.342,174.181,174.279,174.327,174.368,174.205,174.304,0.025000000000005684,0.014343744979692518
2025-09-18 12:00:00+00:00,174.291,174.391,174.171,174.328,13900,174.279,174.377,174.147,174.313,174.303,174.405,174.183,174.342,0.029000000000024784,0.016635308154757
2025-09-18 13:00:00+00:00,174.324,174.427,174.137,174.224,18780,174.311,174.415,174.124,174.212,174.336,174.44,174.149,174.235,0.023000000000024556,0.013201395904137523
2025-09-18 14:00:00+00:00,174.224,174.428,174.172,174.291,16224,174.213,174.414,174.159,174.279,174.235,174.442,174.185,174.303,0.02400000000000091,0.013770074186275202
2025-09-18 15:00:00+00:00,174.294,174.383,174.216,174.365,12444,174.282,174.372,174.203,174.354,174.305,174.396,174.227,174.376,0.02199999999999136,0.0126172110228494
2025-09-18 16:00:00+00:00,174.364,174.378,174.194,174.291,9787,174.35,174.366,174.181,174.278,174.377,174.389,174.206,174.304,0.02600000000001046,0.014917580368470237
2025-09-18 17:00:00+00:00,174.29,174.35,174.268,174.315,7028,174.278,174.337,174.255,174.302,174.303,174.364,174.281,174.328,0.02600000000001046,0.01491552648940737
2025-09-18 18:00:00+00:00,174.313,174.338,174.256,174.327,5776,174.301,174.325,174.241,174.315,174.325,174.352,174.27,174.339,0.02400000000000091,0.01376723054948511
2025-09-18 19:00:00+00:00,174.326,174.366,174.286,174.364,5122,174.314,174.354,174.273,174.352,174.339,174.379,174.298,174.375,0.022999999999996135,0.013190796265281902
2025-09-18 20:00:00+00:00,174.369,174.434,174.344,174.432,4211,174.354,174.415,174.33,174.413,174.384,174.454,174.355,174.45,0.03699999999997772,0.021211704274432284
2025-09-18 21:00:00+00:00,174.348,174.444,174.348,174.434,1660,174.273,174.426,174.273,174.391,174.423,174.5,174.423,174.476,0.08500000000000796,0.04872903218409711
2025-09-18 22:00:00+00:00,174.426,174.43,174.362,174.398,3777,174.398,174.415,174.347,174.384,174.453,174.453,174.374,174.412,0.02800000000002001,0.016055229991181096
2025-09-18 23:00:00+00:00,174.398,174.504,174.398,174.448,2144,174.385,174.493,174.384,174.433,174.412,174.514,174.412,174.462,0.028999999999996362,0.016623864991284716
2025-09-19 00:00:00+00:00,174.45,174.498,174.378,174.464,6894,174.437,174.485,174.365,174.451,174.464,174.511,174.389,174.477,0.02600000000001046,0.014902787967724263
2025-09-19 01:00:00+00:00,174.466,174.466,174.322,174.363,7592,174.451,174.454,174.309,174.351,174.48,174.48,174.334,174.375,0.02400000000000091,0.013764388086922631
2025-09-19 02:00:00+00:00,174.362,174.378,174.248,174.342,5374,174.35,174.365,174.236,174.326,174.375,174.39,174.26,174.358,0.03200000000001069,0.018354728063238165
2025-09-19 03:00:00+00:00,174.341,174.39,173.778,173.942,11066,174.326,174.377,173.758,173.93,174.356,174.403,173.798,173.953,0.022999999999996135,0.0132227984040635
2025-09-19 04:00:00+00:00,173.938,173.946,173.483,173.708,14537,173.927,173.936,173.471,173.693,173.948,173.959,173.495,173.722,0.028999999999996362,0.0166946830312918
2025-09-19 05:00:00+00:00,173.707,173.762,173.618,173.679,9325,173.693,173.749,173.603,173.665,173.721,173.775,173.63,173.693,0.02800000000002001,0.016121695772096805
2025-09-19 06:00:00+00:00,173.684,174.116,173.584,173.985,16507,173.668,174.102,173.571,173.971,173.699,174.131,173.596,173.999,0.027999999999991587,0.016093341379999185
2025-09-19 07:00:00+00:00,173.981,174.168,173.898,174.126,12007,173.966,174.156,173.886,174.114,173.996,174.18,173.909,174.139,0.025000000000005684,0.014357419340021414
2025-09-19 08:00:00+00:00,174.127,174.13,173.87,173.906,10281,174.115,174.118,173.856,173.891,174.139,174.143,173.884,173.92,0.028999999999996362,0.016675675364850186
2025-09-19 09:00:00+00:00,173.905,174.028,173.854,174.005,9070,173.89,174.014,173.839,173.991,173.92,174.042,173.866,174.019,0.027999999999991587,0.016091491623799078
2025-09-19 10:00:00+00:00,174.006,174.065,173.923,174.011,5417,173.993,174.05,173.91,173.998,174.019,174.08,173.936,174.024,0.02600000000001046,0.014941584152731988
2025-09-19 11:00:00+00:00,174.01,174.052,173.902,173.914,9298,173.998,174.038,173.888,173.9,174.022,174.065,173.912,173.927,0.026999999999986812,0.015524914612962046
2025-09-19 12:00:00+00:00,173.914,173.976,173.772,173.894,10856,173.902,173.964,173.758,173.881,173.926,173.989,173.784,173.906,0.025000000000005684,0.014376574234881988
